feature,pu,value
1,119293,1
1,119504,1
1,119604,1
1,119823,1
1,119841,1
1,119936,4
1,120444,1
1,2446,1
1,3844,1
1,8524,4
1,8778,1
1,11138,1
1,13165,1
1,13325,1
1,13449,4
1,13660,1
1,14019,1
1,15142,1
1,15143,1
1,16274,1
1,16384,1
1,17153,1
1,18590,1
1,19997,1
1,20889,4
1,22101,32
1,22224,1
1,22325,1
1,22789,1
1,24519,1
1,25798,1
1,27834,1
1,31477,1
1,34075,1
1,34406,1
1,34420,1
1,35506,1
1,36231,1
1,36324,1
1,36677,1
1,37387,1
1,38406,1
1,42172,1
1,42410,1
1,43554,4
1,44499,1
1,45592,1
1,46547,1
1,46798,1
1,49003,1
1,50907,1
1,51526,1
1,52366,1
1,54588,1
1,54741,2
1,54820,1
1,55803,1
1,56340,1
1,56353,1
1,56596,1
1,57510,1
1,58523,1
1,59045,1
1,59842,1
1,61424,1
1,62125,1
1,62438,1
1,62451,1
1,62575,1
1,63389,1
1,63399,1
1,63927,1
1,65768,1
1,66239,1
1,66362,1
1,66819,1
1,67370,1
1,68875,1
1,69206,1
1,72115,1
1,72133,1
1,72253,4
1,77768,1
1,82473,1
1,82958,1
1,83027,1
1,83264,1
1,84469,1
1,84707,1
1,84710,1
1,84941,1
1,86005,1
1,86307,1
1,87116,1
1,88313,1
1,88518,1
1,88857,1
1,90364,1
1,90616,1
1,94708,1
1,95254,1
1,95932,1
1,96324,1
1,99684,1
1,100314,1
1,104475,1
1,105110,4
1,106121,1
1,107505,1
1,108079,1
1,108790,1
1,110180,1
1,110879,1
1,112008,1
1,113056,1
1,115984,1
1,118013,1
1,118888,1
1,119603,1
1,120476,1
2,2947.0,1
2,2446.0,1
2,12597.0,1
2,54737.0,1
2,69587.0,1
2,90134.0,1
2,110638.0,1
2,88857.0,1
2,90506.0,4
2,107505.0,1
3,198,32
3,394,2
3,412,32
3,413,2
3,429,32
3,994,32
3,1085,32
3,1329,4
3,1481,32
3,1571,32
3,1586,32
3,1587,32
3,1693,2
3,2061,32
3,2503,2
3,2753,1
3,2961,32
3,3017,32
3,3224,32
3,3492,32
3,3580,32
3,3602,32
3,3660,32
3,3798,32
3,4192,32
3,4260,32
3,4426,32
3,4429,32
3,4528,32
3,5272,32
3,5374,2
3,5586,32
3,5847,1
3,6080,32
3,6208,32
3,6227,32
3,6458,1
3,6459,2
3,6482,32
3,6485,2
3,6587,32
3,6700,32
3,6709,32
3,6849,32
3,6919,32
3,6926,32
3,7772,2
3,7803,32
3,7806,32
3,7946,32
3,8019,32
3,8020,32
3,8338,32
3,8440,32
3,8606,32
3,8738,32
3,8969,32
3,9190,32
3,9436,2
3,9480,32
3,9533,32
3,9555,32
3,9587,32
3,9710,32
3,9832,32
3,9833,32
3,9990,32
3,10107,32
3,10129,1
3,10873,32
3,10876,32
3,10882,2
3,11149,32
3,11364,32
3,11607,32
3,11618,32
3,11698,32
3,11747,32
3,12426,2
3,12453,2
3,12642,32
3,12771,32
3,12854,32
3,13043,32
3,13247,1
3,13344,32
3,13622,1
3,13751,32
3,13826,32
3,13974,32
3,14233,32
3,14236,2
3,14344,32
3,14566,32
3,14698,32
3,14790,32
3,15050,32
3,15140,32
3,15160,32
3,15161,32
3,15260,32
3,15395,32
3,15508,32
3,15509,32
3,15997,32
3,16166,32
3,16195,32
3,16203,32
3,16357,2
3,16437,2
3,16439,32
3,16772,32
3,16888,32
3,16908,32
3,16980,32
3,16995,32
3,17099,2
3,17259,2
3,17280,32
3,18060,32
3,18062,32
3,18102,2
3,18232,32
3,18300,32
3,18302,32
3,18316,32
3,18431,32
3,18512,32
3,18785,1
3,19153,1
3,19294,2
3,19387,32
3,19410,32
3,19628,2
3,19827,32
3,20119,32
3,20217,1
3,20246,32
3,20309,32
3,20637,32
3,20959,32
3,20960,32
3,21205,2
