PUID,SOLUTION
9670,0
9671,0
9672,0
9673,0
9674,1
9675,1
9676,0
9677,0
9678,0
9679,0
9680,0
9681,0
9682,0
9683,1
9684,0
9685,1
9686,0
9687,0
9688,0
9922,0
9923,0
9924,0
9925,0
9926,0
9927,1
9928,0
9929,0
9930,0
9931,0
9932,0
9933,0
9934,0
9935,0
9936,0
9937,0
9938,0
9939,1
9940,0
9941,0
9942,0
9943,1
9944,0
9945,0
9946,0
9947,0
9948,0
9949,0
9950,0
9951,0
9952,0
9953,0
9954,0
9955,0
9956,0
9957,0
9958,0
9959,0
9960,0
9961,0
9962,0
9963,0
9964,0
9965,0
9966,0
9967,0
9968,0
9969,0
9970,0
9971,0
9972,0
9973,0
9974,0
9975,0
9976,0
9977,0
9978,0
10212,0
10213,0
10214,0
10215,0
10216,0
10217,0
10218,0
10219,0
10220,0
10221,0
10222,0
10223,0
10224,0
10225,0
10226,0
10227,1
10228,0
10229,0
10230,0
10231,0
10232,0
10233,0
10234,1
10235,0
10236,0
10237,0
10238,0
10239,0
10240,0
10241,1
10242,0
10243,0
10244,0
10245,0
10246,0
10247,0
10248,0
10249,0
10250,0
10251,0
10252,0
10253,0
10254,0
10255,0
10256,0
10257,0
10258,1
10259,0
10260,1
10261,1
10262,1
10263,1
10264,0
10265,1
10266,0
10267,0
10268,0
10269,0
10502,0
10503,0
10504,1
10505,0
10506,0
10507,0
10508,0
10509,0
10510,0
10511,0
10512,0
10513,0
10514,0
10515,0
10516,0
10517,1
10518,0
10519,1
10520,0
10521,1
10522,0
10523,0
10524,0
10525,0
10526,0
10527,0
10528,0
10529,0
10530,0
10531,0
10532,0
10533,0
10534,0
10535,0
10536,0
10537,0
10538,0
10539,0
10540,0
10541,0
10542,0
10543,0
10544,0
10545,0
10546,1
10547,1
10548,0
10549,0
10550,0
10551,0
10552,0
10553,0
10554,0
10555,0
10556,0
10557,0
10558,0
10559,0
10560,0
10792,0
10793,0
10794,0
10795,0
10796,0
10797,0
10798,0
10799,0
10800,0
10801,0
10802,0
10803,0
10804,0
10805,0
10806,0
10807,0
10808,0
10809,0
10810,0
10811,1
10812,0
10813,0
10814,0
10815,0
10816,0
10817,1
10818,1
10819,0
10820,0
10821,1
10822,0
10823,1
10824,1
10825,0
10826,0
10827,0
10828,0
10829,0
10830,0
10831,1
10832,0
10833,1
10834,0
10835,0
10836,0
10837,0
10838,0
10839,1
10840,0
10841,0
10842,0
10843,0
10844,0
10845,1
10846,0
10847,0
10848,0
10849,0
10850,0
11083,0
11084,0
11085,0
11086,0
11087,0
11088,1
11089,0
11090,0
11091,0
11092,0
11093,0
11094,0
11095,0
11096,0
11097,0
11098,0
11099,0
11100,0
11101,1
11102,0
11103,0
11104,0
11105,0
11106,0
11107,0
11108,0
11109,1
11110,0
11111,1
11112,1
11113,0
11114,0
11115,0
11116,1
11117,1
11118,0
11119,1
11120,0
11121,0
11122,0
11123,0
11124,0
11125,0
11126,1
11127,0
11128,0
11129,0
11130,0
