feature,pu1,pu2,value
stellar_sea_lion_rookeries,60471.0,111096.0,1
stellar_sea_lion_rookeries,54516.0,111096.0,1
stellar_sea_lion_rookeries,78553.0,111096.0,1
stellar_sea_lion_rookeries,27404.0,111096.0,1
stellar_sea_lion_rookeries,21422.0,111096.0,1
stellar_sea_lion_rookeries,23461.0,111096.0,1
stellar_sea_lion_rookeries,67786.0,111096.0,1
stellar_sea_lion_rookeries,5847.0,71566.0,1
stellar_sea_lion_rookeries,27041.0,71566.0,1
stellar_sea_lion_rookeries,115397.0,71566.0,1
stellar_sea_lion_rookeries,6458.0,71566.0,1
stellar_sea_lion_rookeries,116271.0,71566.0,1
stellar_sea_lion_rookeries,114074.0,71566.0,1
stellar_sea_lion_rookeries,66653.0,71566.0,1
stellar_sea_lion_rookeries,16888.0,71566.0,1
stellar_sea_lion_rookeries,104724.0,71566.0,1
stellar_sea_lion_rookeries,90068.0,71566.0,1
stellar_sea_lion_rookeries,89374.0,71566.0,1
stellar_sea_lion_rookeries,110733.0,71566.0,1
stellar_sea_lion_rookeries,22481.0,111096.0,1
stellar_sea_lion_rookeries,118175.0,111096.0,1
stellar_sea_lion_rookeries,72553.0,111096.0,1
stellar_sea_lion_rookeries,28492.0,111096.0,1
stellar_sea_lion_rookeries,67305.0,111096.0,1
stellar_sea_lion_rookeries,9190.0,111096.0,1
stellar_sea_lion_rookeries,38558.0,111096.0,1
stellar_sea_lion_rookeries,74526.0,71566.0,1
stellar_sea_lion_rookeries,19153.0,71566.0,1
stellar_sea_lion_rookeries,20217.0,71566.0,1
stellar_sea_lion_rookeries,50639.0,71566.0,1
stellar_sea_lion_rookeries,11618.0,71566.0,1
stellar_sea_lion_rookeries,90072.0,71566.0,1
stellar_sea_lion_rookeries,96507.0,71566.0,1
stellar_sea_lion_rookeries,33775.0,111096.0,1
stellar_sea_lion_rookeries,67649.0,111096.0,1
stellar_sea_lion_rookeries,55137.0,111096.0,1
stellar_sea_lion_rookeries,10107.0,111096.0,1
stellar_sea_lion_rookeries,91978.0,111096.0,1
stellar_sea_lion_rookeries,98825.0,111096.0,1
stellar_sea_lion_rookeries,42682.0,71566.0,1
stellar_sea_lion_rookeries,2753.0,71566.0,1
stellar_sea_lion_rookeries,91267.0,71566.0,1
stellar_sea_lion_rookeries,19410.0,71566.0,1
stellar_sea_lion_rookeries,57293.0,71566.0,1
stellar_sea_lion_rookeries,58084.0,71566.0,1
stellar_sea_lion_rookeries,93681.0,111096.0,1
stellar_sea_lion_rookeries,37739.0,111096.0,1
stellar_sea_lion_rookeries,40960.0,111096.0,1
stellar_sea_lion_rookeries,11698.0,111096.0,1
stellar_sea_lion_rookeries,74822.0,111096.0,1
stellar_sea_lion_rookeries,109220.0,71566.0,1
stellar_sea_lion_rookeries,86491.0,71566.0,1
stellar_sea_lion_rookeries,65166.0,71566.0,1
stellar_sea_lion_haulout,53953.0,8017.0,1
stellar_sea_lion_haulout,8017.0,14570.0,1
stellar_sea_lion_haulout,40395.0,8017.0,1
stellar_sea_lion_haulout,108499.0,93269.0,1
stellar_sea_lion_haulout,108499.0,1122.0,1
