id,cost,status,xloc,yloc,pu_val
130,1,0,147.944071135105,-18.6682340512325,0
131,1,0,148.083949081178,-18.6695686446192,0
132,1,0,148.223829457585,-18.67078343956669,0
133,1,0,148.363712035971,-18.671878433146,0
134,1,0,146.19853436276,-18.5266462693628,0
135,1,0,146.338253431357,-18.5294757994921,1
136,1,0,146.477977769629,-18.5321856842019,0
137,1,0,146.617707150212,-18.5347759169724,0
138,1,0,146.757441345693,-18.5372464915708,0
139,1,0,146.897180128612,-18.5395974020523,0
140,1,0,147.03692327146098,-18.541828642759302,0
141,1,0,147.176670546695,-18.543940208322105,0
142,1,0,147.316421726723,-18.545932093658603,0
143,1,0,147.45617658392,-18.5478042939745,0
144,1,0,147.59593489062098,-18.5495568047634,0
145,1,0,147.735696419133,-18.5511896218068,0
146,1,0,147.875460941725,-18.5527027411741,0
147,1,0,148.015228230641,-18.5540961592227,0
148,1,0,148.154998058097,-18.555369872598103,0
149,1,0,148.29477019628402,-18.5565238782337,0
150,1,0,148.43454441737,-18.5575581733511,0
151,1,0,146.131366697908,-18.4103873045112,0
152,1,0,146.270973980166,-18.4132744331735,1
153,1,0,146.41058663316005,-18.4160420116997,1
154,1,0,146.550204430085,-18.418690033440896,1
155,1,0,146.689827144082,-18.4212184920353,1
156,1,0,146.829454548246,-18.423627381408,1
157,1,0,146.969086415625,-18.425916695770603,1
158,1,0,147.108722519225,-18.428086429622,1
159,1,0,147.24836263201,-18.4301365777481,1
160,1,0,147.38800652690398,-18.4320671352219,0
161,1,0,147.527653976796,-18.4338780974035,0
162,1,0,147.667304754537,-18.4355694599403,0
163,1,0,147.806958632949,-18.4371412187669,0
164,1,0,147.946615384823,-18.4385933701053,0
165,1,0,148.08627478291902,-18.43992591046469,0
166,1,0,148.225936599976,-18.4411388366421,0
167,1,0,148.365600608705,-18.4422321457214,0
168,1,0,146.064305209041,-18.2940992902702,1
169,1,0,146.203800831185,-18.2970439271728,0
170,1,0,146.343301924623,-18.299869109143103,1
171,1,0,146.482808263103,-18.3025748294045,1
172,1,0,146.622319620323,-18.3051610814664,1
173,1,0,146.761835769932,-18.3076278591242,1
174,1,0,146.90135648553004,-18.3099751564597,1
175,1,0,147.040881540676,-18.312202967841102,1
176,1,0,147.18041070888398,-18.31431128792261,1
177,1,0,147.319943763629,-18.3163001116452,1
178,1,0,147.459480478348,-18.3181694342362,0
179,1,0,147.599020626443,-18.319919251209487,0
180,1,0,147.738563981281,-18.3215495583655,0
181,1,0,147.87811031619802,-18.3230603517916,0
182,1,0,148.017659404503,-18.3244516278614,0
183,1,0,148.157211019476,-18.3257233832355,0
184,1,0,148.296764934373,-18.3268756148613,0
185,1,0,148.436320922428,-18.327908319973,0
186,1,0,145.997349669711,-18.1777822987929,0
187,1,0,146.136733757912,-18.1807843538136,0
188,1,0,146.276123417461,-18.1836670490268,0
189,1,0,146.415518422662,-18.1864303775284,1
190,1,0,146.554918547766,-18.189074332699494,1
191,1,0,146.694323566973,-18.191598908207,1
192,1,0,146.83373325443702,-18.194004098003106,1
193,1,0,146.973147384266,-18.1962898963258,1
194,1,0,147.112565730526,-18.1984562976986,1
195,1,0,147.25198806723802,-18.200503296931,1
196,1,0,147.39141416839,-18.202430889118,1
197,1,0,147.53084380792802,-18.2042390696408,1
198,1,0,147.670276759767,-18.2059278341662,0
199,1,0,147.809712797789,-18.2074971786473,0
200,1,0,147.949151695844,-18.2089470993231,0
201,1,0,148.088593227758,-18.2102775927185,0
202,1,0,148.22803716732702,-18.2114886556448,0
203,1,0,146.069772534397,-18.0644957852661,1
204,1,0,146.209050885674,-18.067435903691003,0
205,1,0,146.34833468271003,-18.0702567503228,1
206,1,0,146.487623700309,-18.0729583184152,1
207,1,0,146.626917713223,-18.07554060150689,1
208,1,0,146.766216496156,-18.0780035934211,1
209,1,0,146.905519823765,-18.0803472882665,1
210,1,0,147.04482747066402,-18.0825716804362,1
211,1,0,147.184139211424,-18.0846767646088,1
212,1,0,147.32345482057698,-18.086662535748104,1
213,1,0,147.462774072618,-18.088528989102603,1
214,1,0,147.602096742003,-18.0902761202067,1
215,1,0,147.74142260316003,-18.0919039248795,0
216,1,0,147.880751430483,-18.09341239922589,0
217,1,0,148.020082998336,-18.0948015396361,0
218,1,0,146.142084103814,-17.951175745322,1
219,1,0,146.281256817749,-17.954054020143897,1
220,1,0,146.420434852406,-17.9568131111393,1
221,1,0,146.559617983088,-17.959453011719198,1
222,1,0,146.698805985047,-17.9619737155787,1
223,1,0,146.83799863349,-17.964375216697302,1
224,1,0,146.977195703577,-17.966657509339,1
225,1,0,147.116396970426,-17.968820588051802,1
