FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry
37.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16460431.226143423 -2192427.3959291447, 16468299.046938455 -2187997.8726157206, 16476071.567592492 -2192592.613488766, 16475980.216925103 -2201623.6218411713, 16468108.146644145 -2206059.7349213595, 16460331.676673828 -2201458.241454262, 16460431.226143423 -2192427.3959291447))"
38.0,,,,,,,,,,,,,,,,,87180607.3660693,,,,"POLYGON ((16476071.567592492 -2192592.613488766, 16483935.43883872 -2188155.9164741603, 16491712.196095962 -2192743.6389190853, 16491629.044682477 -2201774.7961192913, 16483760.93661403 -2206218.0904559693, 16475980.216925103 -2201623.6218411713, 16476071.567592492 -2192592.613488766))"
39.0,,,,,,,,3598564.8604141,,,,,,,,,,,,,"POLYGON ((16491712.196095962 -2192743.6389190853, 16499572.104698228 -2188299.7748180307, 16507353.0858936 -2192880.471519375, 16507278.1341452 -2201911.763585232, 16499414.001406038 -2206362.2325142776, 16491629.044682477 -2201774.7961192913, 16491712.196095962 -2192743.6389190853))"
40.0,,,,,,,,,,,,,,,,,4715152.0560086,,,,"POLYGON ((16507353.0858936 -2192880.471519375, 16515209.01877566 -2188429.446980756, 16522994.211222602 -2193003.1106547043, 16522927.459509937 -2202034.523601656, 16515067.315197803 -2206492.1604246385, 16507278.1341452 -2201911.763585232, 16507353.0858936 -2192880.471519375))"
41.0,,,,,,,,,,,,6026779.19367021,,,,,,,,,"POLYGON ((16312132.985790646 -2176615.031627207, 16320031.398566632 -2172256.8525158437, 16327757.043409733 -2176914.5855289525, 16327588.09377794 -2185937.2722017947, 16319685.319380863 -2190301.94023402, 16311955.856521258 -2185637.4242923977, 16312132.985790646 -2176615.031627207))"
42.0,,,,,,,6161964.89536068,,,,,46081999.8446472,,603189.675198246,,,,,,,"POLYGON ((16327757.043409733 -2176914.5855289525, 16335651.637745833 -2172549.1827179273, 16343381.631376835 -2177199.9780626576, 16343220.862216258 -2186222.94486953, 16335321.91868231 -2190594.844579775, 16327588.093777943 -2185937.2722017947, 16327757.043409733 -2176914.5855289525))"
43.0,,,,,,,116777992.738644,,,,,60462379.6391033,,1895887.64069539,,,,,,,"POLYGON ((16343381.631376835 -2177199.9780626576, 16351272.394036332 -2172827.35780644, 16359006.724029431 -2177471.2079113475, 16358854.136133386 -2186494.4409736106, 16350959.036721991 -2190873.566059604, 16343220.862216258 -2186222.94486953, 16343381.631376835 -2177199.9780626576))"
44.0,,,,,,,57446015.2253544,,,,,74182968.2906011,,,,,,,,,"POLYGON ((16359006.724029435 -2177471.2079113475, 16366893.641793212 -2173091.3764994056, 16374632.295700025 -2177728.273823184, 16374487.889821507 -2186751.7592574623, 16366596.647774367 -2191138.103381773, 16358854.136133386 -2186494.4409736106, 16359006.724029435 -2177471.2079113475))"
45.0,,,,,,,187659034.348753,,,,,,,,,,,,,,"POLYGON ((16374632.295700025 -2177728.273823184, 16382515.355366701 -2173341.237579884, 16390258.320716385 -2177971.1746115233, 16390122.097568067 -2186994.898529923, 16382234.726109032 -2191388.4553200873, 16374487.889821507 -2186751.7592574623, 16374632.295700025 -2177728.273823184))"
46.0,,,,,,,119605723.672292,,,,,2064.55900422391,,,,,,,,,"POLYGON ((16390258.320716385 -2177971.1746115233, 16398137.509102445 -2173576.939896021, 16405884.773401814 -2178199.9091549423, 16405756.733656026 -2187223.8576653097, 16397873.245990954 -2191624.620713925, 16390122.097568067 -2186994.898529923, 16390258.320716385 -2177971.1746115233))"
47.0,,,,,,,1677143.50966728,,,,,23625850.2001734,,,,,,,,,"POLYGON ((16405884.773401814 -2178199.9091549423, 16413760.077341745 -2173798.482361087, 16421511.628075395 -2178414.476397267, 16421391.772364125 -2187438.6356034433, 16413512.181680752 -2191846.5984682757, 16405756.733656026 -2187223.8576653097, 16405884.773401814 -2178199.9091549423))"
48.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16421511.628075395 -2178414.476397267, 16429383.034421816 -2174005.863953481, 16437138.85905225 -2178614.8753476227, 16437027.187967116 -2187639.231349683, 16429151.50743493 -2192054.3875537757, 16421391.772364125 -2187438.6356034433, 16421511.628075395 -2178414.476397267))"
49.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16437138.85905225 -2178614.8753476227, 16445006.354676044 -2174199.0837167953, 16452766.440643784 -2178801.1050804392, 16452662.954736037 -2187825.643974936, 16444791.197506137 -2192247.9870067257, 16437027.187967116 -2187639.231349683, 16437138.85905225 -2178614.8753476227))"
50.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16452766.440643784 -2178801.1050804392, 16460630.01243422 -2174378.140759827, 16468394.34715794 -2178973.1647354937, 16468299.046938455 -2187997.8726157206, 16460431.226143423 -2192427.3959291447, 16452662.954736037 -2187825.643974936, 16452766.440643784 -2178801.1050804392))"
51.0,,,,,,,,30143466.8221595,,,,,,,,,14805542.608798,,,,"POLYGON ((16468394.34715794 -2178973.1647354937, 16476253.98202282 -2174543.0342565984, 16484022.552899465 -2179131.0535179377, 16483935.43883872 -2188155.9164741603, 16476071.567592492 -2192592.613488766, 16468299.046938455 -2187997.8726157206, 16468394.34715794 -2178973.1647354937))"
52.0,,,,,,,,67811327.357164,,,,,,,,,69789301.5677637,,,,"POLYGON ((16484022.552899465 -2179131.0535179377, 16491878.237765243 -2174693.7634463934, 16499651.032170137 -2179274.770698308, 16499572.104698228 -2188299.7748180307, 16491712.196095962 -2192743.6389190853, 16483935.43883872 -2188155.9164741603, 16484022.552899465 -2179131.0535179377))"
53.0,,,,,,,,41288189.9833988,,,,,,,,,42415507.9360304,,,,"POLYGON ((16499651.03217014 -2179274.770698308, 16507502.753982063 -2174830.3276337814, 16515279.759269053 -2179404.315612563, 16515209.01877566 -2188429.446980756, 16507353.0858936 -2192880.471519375, 16499572.104698228 -2188299.7748180307, 16499651.03217014 -2179274.770698308))"
54.0,,,,,,,,,,,,,,,,,17565247.5997284,,,,"POLYGON ((16515279.759269053 -2179404.315612563, 16523127.504991282 -2174952.7261886224, 16530908.70849285 -2179519.687662086, 16530846.155327255 -2188544.9323614566, 16522994.211222602 -2193003.1106547043, 16515209.01877566 -2188429.446980756, 16515279.759269053 -2179404.315612563))"
55.0,,,,,,,,,,,,3128309.73587516,,,,,,,,,"POLYGON ((16288981.674046516 -2162613.9695114694, 16296879.518889366 -2158269.4707016335, 16304592.636596832 -2162934.292566051, 16304411.702138552 -2171950.368547174, 16296509.484176876 -2176301.317739518, 16288792.574096078 -2171629.732223871, 16288981.674046516 -2162613.9695114694))"
56.0,,,,,,,41515949.2451558,,,,,68463167.9073135,,1266390.7701734,,,,,,,"POLYGON ((16304592.636596832 -2162934.292566051, 16312486.688614193 -2158582.57184764, 16320204.16664151 -2163240.4770638803, 16320031.398566632 -2172256.8525158437, 16312132.985790646 -2176615.031627207, 16304411.702138552 -2171950.368547174, 16304592.636596832 -2162934.292566051))"
57.0,,,,,,,157343391.742741,,,,,30285070.4541811,,11981.8837475618,,,,,,,"POLYGON ((16320204.16664151 -2163240.4770638803, 16328094.412602002 -2158881.540608892, 16335816.238586223 -2163532.5215983423, 16335651.637745833 -2172549.182717929, 16327757.043409733 -2176914.5855289525, 16320031.398566632 -2172256.8525158437, 16320204.16664151 -2163240.4770638803))"
58.0,,,,,,,179741864.251947,,,,,164182.37767075,,7734771.93240432,,,,,,,"POLYGON ((16335816.238586223 -2163532.5215983423, 16343702.665275823 -2159166.375613743, 16351428.826831318 -2163810.424827555, 16351272.394036332 -2172827.3578064432, 16343381.631376835 -2177199.9780626576, 16335651.637745833 -2172549.182717929, 16335816.238586223 -2163532.5215983423))"
