pu,x,xloc,yloc
146,0,145.627,-15.609000000000002
147,0,145.515,-15.609000000000002
148,0,145.804,-15.607
149,0,145.499,-15.691
150,0,145.50799999999995,-15.63
151,0,145.805,-15.648
152,0,145.717,-15.647
153,0,145.429,-15.644
154,0,145.395,-15.709
155,0,145.439,-15.706
156,0,145.429,-15.707
157,0,145.405,-15.71
158,1,145.798,-15.719
159,0,145.45600000000005,-15.734000000000002
160,0,145.438,-15.742
161,0,145.779,-15.748
162,0,145.58100000000005,-15.778
163,0,145.797,-15.792
164,0,145.819,-15.827
165,1,145.773,-15.822
166,0,145.79399999999995,-15.876
167,0,145.57399999999996,-15.874
168,0,145.658,-15.906
169,0,145.39600000000004,-15.912
170,0,145.81799999999996,-15.949000000000002
171,1,145.67,-15.974
172,0,145.83100000000005,-15.992
173,0,145.766,-16.006
174,0,145.791,-16.019000000000002
175,0,145.711,-16.031
176,0,145.651,-16.045
177,0,145.736,-16.055999999999994
178,1,145.836,-16.107
179,0,145.724,-16.079
180,0,145.757,-16.076
181,0,145.696,-16.192999999999998
182,0,145.89,-16.215999999999998
183,0,145.639,-16.18
184,0,145.793,-16.212
185,1,145.809,-16.325
186,0,145.769,-16.352999999999998
187,0,145.767,-16.414
188,0,145.565,-16.386
189,1,145.42700000000005,-16.397000000000002
190,0,145.998,-16.429000000000002
191,1,145.989,-16.465999999999998
192,0,146.013,-16.52
193,0,145.52700000000004,-16.524
194,1,145.542,-16.529
195,0,145.861,-16.545
196,1,146.018,-16.583
197,0,145.55100000000004,-16.557000000000002
198,1,145.532,-16.565
199,1,145.981,-16.581
200,1,145.935,-16.641
201,1,145.993,-16.653
202,1,146.05200000000005,-16.7
203,1,145.94,-16.673
204,0,146.254,-16.689
205,0,145.686,-16.729
206,0,145.688,-16.734
207,0,146.27200000000005,-16.736
208,1,145.99200000000005,-16.768
209,0,146.273,-16.79
210,0,146.185,-16.803
211,0,146.216,-16.873
212,0,146.352,-16.854
213,0,146.398,-16.875
214,0,146.249,-16.915
215,0,146.45,-16.938
216,0,146.208,-16.938
217,0,146.217,-17.014
218,0,146.186,-17.073
219,0,146.342,-17.104
220,0,146.41,-17.099
221,0,146.469,-17.125999999999998
222,0,146.011,-17.15
223,1,146.292,-17.184
224,0,146.368,-17.195
225,0,146.077,-17.211
226,0,146.483,-17.233
227,0,146.092,-17.224
228,0,146.366,-17.294
229,0,146.44299999999996,-17.288
230,0,146.39,-17.392
231,0,146.545,-17.430999999999994
232,0,146.507,-17.441
233,0,146.48,-17.442
234,0,146.457,-17.453
235,0,146.459,-17.475
236,0,146.391,-17.484
237,1,146.525,-17.524
238,0,146.379,-17.529
239,0,146.578,-17.58
240,0,146.453,-17.611
241,0,146.466,-17.655
242,0,146.158,-17.654
243,0,146.545,-17.7
244,0,146.168,-17.672
245,1,146.39600000000004,-17.723
246,0,146.503,-17.741
247,1,146.154,-17.75
248,0,146.511,-17.750999999999994
249,0,146.64700000000005,-17.774
250,0,146.44,-17.769000000000005
251,0,146.518,-17.79
252,0,146.549,-17.832
253,0,146.488,-17.848
254,0,146.589,-17.886
255,1,146.732,-17.875
256,0,146.139,-17.964000000000006
257,0,146.60399999999996,-17.969
258,0,146.136,-17.977
259,0,146.776,-17.996
260,0,146.839,-18.012
261,1,146.558,-18.051
262,0,146.154,-18.007
263,0,146.166,-18.023
264,0,146.2,-18.04
265,0,146.17700000000005,-18.037
266,0,146.205,-18.05
267,0,146.763,-18.122
268,0,146.972,-18.135
269,0,146.29,-18.149
270,0,146.154,-18.172
271,0,147.02700000000004,-18.21
272,0,146.73,-18.228
273,0,146.32399999999996,-18.235
274,0,146.904,-18.263
275,0,147.387,-18.267
276,0,146.829,-18.351
277,0,146.745,-18.323
278,0,147.205,-18.359
279,0,146.708,-18.408
280,0,147.454,-18.41
281,0,147.063,-18.428
282,0,147.138,-18.416
283,0,147.35,-18.422
284,0,146.99200000000005,-18.432
285,0,146.994,-18.469
286,0,146.874,-18.479
287,0,147.036,-18.502
288,0,147.144,-18.523
289,0,147.101,-18.493
290,0,147.445,-18.5
291,0,147.398,-18.527
292,1,147.192,-18.554
293,1,146.488,-18.558
294,1,147.495,-18.564
295,0,146.487,-18.602
296,0,147.422,-18.63
297,0,147.054,-18.632
298,0,147.29399999999995,-18.628
299,0,146.55,-18.674
300,0,146.512,-18.677
301,0,146.336,-18.686
302,0,147.101,-18.696
303,0,147.27100000000004,-18.748
304,1,146.61,-18.765
305,0,146.55,-18.769
306,0,146.535,-18.777
307,0,146.52100000000004,-18.774
308,0,146.667,-18.776
309,0,146.433,-18.812
310,0,146.525,-18.829
311,0,146.53799999999995,-18.843
312,0,146.631,-18.964
313,1,146.686,-18.995
314,0,145.523,-14.82
315,1,145.69,-16.123
316,1,146.78799999999995,-18.038
317,1,146.153,-17.954
318,0,146.796,-17.944000000000006
319,0,146.861,-18.059
320,0,146.797,-18.094
321,0,145.7,-14.9
